Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas
Ketimun,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Hercules F1
Ketimun,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Hercules F1
Ketimun,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Mercy F1
Ketimun,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Mercy F1
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Mercy F1
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Mercy F1
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Mercy F1
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Mercy F1
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Mercy F1
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Mercy F1
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Mercy F1
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Mercy F1
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Mercy F1
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Mercy F1
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Mercy F1
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Mercy F1
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Mercy F1
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Mercy F1
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Mercy F1
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Mercy F1
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Mercy F1
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Mercy F1
Ketimun,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Mercy F1
Ketimun,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Mercy F1
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Mercy F1
Ketimun,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Mercy F1
Ketimun,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Mercy F1
Ketimun,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Mercy F1
Ketimun,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Mercy F1
Ketimun,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Roman F1
Ketimun,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Roman F1
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Roman F1
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Roman F1
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Roman F1
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Roman F1
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Roman F1
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Roman F1
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Roman F1
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Roman F1
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Roman F1
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Roman F1
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Roman F1
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Roman F1
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Roman F1
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Roman F1
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Roman F1
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Roman F1
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Roman F1
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Roman F1
Ketimun,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Roman F1
Ketimun,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Roman F1
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Roman F1
Ketimun,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Roman F1
Ketimun,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Roman F1
Ketimun,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Roman F1
Ketimun,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Roman F1
Kacang Panjang,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Parade Tavi
Kacang Panjang,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Parade Tavi
Kacang Panjang,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Parade Tavi
Kacang Panjang,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Parade Tavi
Kacang Panjang,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Parade Tavi
Kacang Panjang,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Parade Tavi
Kacang Panjang,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Parade Tavi
Kacang Panjang,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Parade Tavi
Kacang Panjang,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Parade Tavi
Kacang Panjang,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Parade Tavi
Kacang Panjang,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Parade Tavi
Kacang Panjang,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Parade Tavi
Kacang Panjang,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Parade Tavi
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Parade Tavi
Kacang Panjang,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Parade Tavi
Kacang Panjang,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Parade Tavi
Kacang Panjang,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Parade Tavi
Kacang Panjang,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Parade Tavi
Kacang Panjang,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Parade Tavi
Kacang Panjang,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Parade Tavi
Kacang Panjang,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Parade Tavi
Kacang Panjang,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Parade Tavi
Kacang Panjang,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Parade Tavi
Kacang Panjang,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Parade Tavi
Kacang Panjang,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Parade Tavi
Kacang Panjang,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Parade Tavi
Kacang Panjang,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Parade Tavi
Kacang Panjang,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Kanton Tavi
Kacang Panjang,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Kanton Tavi
Kacang Panjang,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Kanton Tavi
Kacang Panjang,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Kanton Tavi
Kacang Panjang,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Kanton Tavi
Kacang Panjang,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Kanton Tavi
Kacang Panjang,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Kanton Tavi
Kacang Panjang,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Kanton Tavi
Kacang Panjang,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Kanton Tavi
Kacang Panjang,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Kanton Tavi
Kacang Panjang,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Kanton Tavi
Kacang Panjang,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Kanton Tavi
Kacang Panjang,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Kanton Tavi
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Kanton Tavi
Kacang Panjang,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Kanton Tavi
Kacang Panjang,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Kanton Tavi
Kacang Panjang,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Kanton Tavi
Kacang Panjang,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Kanton Tavi
Kacang Panjang,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Kanton Tavi
Kacang Panjang,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Kanton Tavi
Kacang Panjang,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Kanton Tavi
Kacang Panjang,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Kanton Tavi
Kacang Panjang,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Kanton Tavi
Kacang Panjang,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Kanton Tavi
Kacang Panjang,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Kanton Tavi
Kacang Panjang,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Kanton Tavi
Kacang Panjang,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Kanton Tavi
Kacang Panjang,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,KP-1
Kacang Panjang,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,KP-1
Kacang Panjang,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,KP-1
Kacang Panjang,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,KP-1
Kacang Panjang,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,KP-1
Kacang Panjang,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,KP-1
Kacang Panjang,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,KP-1
Kacang Panjang,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,KP-1
Kacang Panjang,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,KP-1
Kacang Panjang,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,KP-1
Kacang Panjang,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,KP-1
Kacang Panjang,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,KP-1
Kacang Panjang,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,KP-1
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,KP-1
Kacang Panjang,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,KP-1
Kacang Panjang,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,KP-1
Kacang Panjang,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,KP-1
Kacang Panjang,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,KP-1
Kacang Panjang,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,KP-1
Kacang Panjang,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,KP-1
Kacang Panjang,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,KP-1
Kacang Panjang,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,KP-1
Kacang Panjang,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,KP-1
Kacang Panjang,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,KP-1
Kacang Panjang,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,KP-1
Kacang Panjang,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,KP-1
Kacang Panjang,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,KP-1
Kangkung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Bangkok LP-1
Kangkung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Bangkok LP-1
Kangkung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Bangkok LP-1
Kangkung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Bangkok LP-1
Kangkung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Bangkok LP-1
Kangkung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Bangkok LP-1
Kangkung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Bangkok LP-1
Kangkung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Bangkok LP-1
Kangkung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Bangkok LP-1
Kangkung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Bangkok LP-1
Kangkung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Bangkok LP-1
Kangkung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Bangkok LP-1
Kangkung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Bangkok LP-1
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Bangkok LP-1
Kangkung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Bangkok LP-1
Kangkung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Bangkok LP-1
Kangkung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Bangkok LP-1
Kangkung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Bangkok LP-1
Kangkung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Bangkok LP-1
Kangkung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Bangkok LP-1
Kangkung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Bangkok LP-1
Kangkung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Bangkok LP-1
Kangkung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Bangkok LP-1
Kangkung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Bangkok LP-1
Kangkung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Bangkok LP-1
Kangkung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Bangkok LP-1
Kangkung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Bangkok LP-1
Kangkung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Bisi Kangkung
Kangkung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Bisi Kangkung
Kangkung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Bisi Kangkung
Kangkung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Bisi Kangkung
Kangkung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Bisi Kangkung
Kangkung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Bisi Kangkung
Kangkung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Bisi Kangkung
Kangkung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Bisi Kangkung
Kangkung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Bisi Kangkung
Kangkung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Bisi Kangkung
Kangkung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Bisi Kangkung
Kangkung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Bisi Kangkung
Kangkung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Bisi Kangkung
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Bisi Kangkung
Kangkung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Bisi Kangkung
Kangkung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Bisi Kangkung
Kangkung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Bisi Kangkung
Kangkung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Bisi Kangkung
Kangkung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Bisi Kangkung
Kangkung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Bisi Kangkung
Kangkung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Bisi Kangkung
Kangkung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Bisi Kangkung
Kangkung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Bisi Kangkung
Kangkung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Bisi Kangkung
Kangkung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Bisi Kangkung
Kangkung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Bisi Kangkung
Kangkung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Bisi Kangkung
Kangkung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Sutra
Kangkung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Sutra
Kangkung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Sutra
Kangkung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Sutra
Kangkung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Sutra
Kangkung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Sutra
Kangkung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Sutra
Kangkung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Sutra
Kangkung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Sutra
Kangkung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Sutra
Kangkung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Sutra
Kangkung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Sutra
Kangkung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Sutra
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Sutra
Kangkung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Sutra
Kangkung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Sutra
Kangkung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Sutra
Kangkung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Sutra
Kangkung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Sutra
Kangkung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Sutra
Kangkung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Sutra
Kangkung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Sutra
Kangkung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Sutra
Kangkung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Sutra
Kangkung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Sutra
Kangkung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Sutra
Kangkung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Sutra
Terung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Mustang F1
Terung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Mustang F1
Terung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Mustang F1
Terung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Mustang F1
Terung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Mustang F1
Terung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Mustang F1
Terung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Mustang F1
Terung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Mustang F1
Terung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Mustang F1
Terung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Mustang F1
Terung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Mustang F1
Terung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Mustang F1
Terung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Mustang F1
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Mustang F1
Terung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Mustang F1
Terung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Mustang F1
Terung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Mustang F1
Terung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Mustang F1
Terung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Mustang F1
Terung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Mustang F1
Terung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Mustang F1
Terung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Mustang F1
Terung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Mustang F1
Terung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Mustang F1
Terung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Mustang F1
Terung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Mustang F1
