Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas,Nama_Varietas_Encoded,Nama_Tanaman_Encoded,Kecamatan_Encoded
Ketimun,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Hercules F1,10,6,22
Ketimun,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Hercules F1,10,6,23
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Hercules F1,10,6,24
Ketimun,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Hercules F1,10,6,25
Ketimun,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.66,Hercules F1,10,6,26
Ketimun,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Mercy F1,19,6,5
Ketimun,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Mercy F1,19,6,6
Ketimun,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Mercy F1,19,6,7
Ketimun,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Mercy F1,19,6,8
Ketimun,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Mercy F1,19,6,9
Ketimun,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Mercy F1,19,6,10
Ketimun,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Mercy F1,19,6,11
Ketimun,Muara Batu,6.11,25.56,1941.0,10,Sedang,25.52,Mercy F1,19,6,12
Ketimun,Dewantara,6.34,31.92,2175.82,9,Sedang,29.07,Mercy F1,19,6,4
Ketimun,Nisam,3.87,30.83,1805.01,29,Tinggi,5.02,Mercy F1,19,6,14
Ketimun,Nisam Antara,5.47,25.02,2181.0,459,Tinggi,6.53,Mercy F1,19,6,15
Ketimun,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,Mercy F1,19,6,16
Ketimun,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Mercy F1,19,6,17
Ketimun,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,Mercy F1,19,6,18
Ketimun,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Mercy F1,19,6,19
Ketimun,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Mercy F1,19,6,20
Ketimun,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Mercy F1,19,6,21
Ketimun,Syamtalira Aron,5.98,26.03,2265.36,4,Rendah,23.41,Mercy F1,19,6,22
Ketimun,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Mercy F1,19,6,23
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Mercy F1,19,6,24
Ketimun,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Mercy F1,19,6,25
Ketimun,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,0.63,Mercy F1,19,6,26
Ketimun,Geureudong Pase,3.81,25.2,2341.25,528,Sedang,6.85,Roman F1,23,6,5
Ketimun,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Roman F1,23,6,6
Ketimun,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Roman F1,23,6,7
Ketimun,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Roman F1,23,6,8
Ketimun,Dewantara,6.12,25.56,1932.0,9,Sedang,6.65,Roman F1,23,6,4
Ketimun,Matangkuli,4.9,23.59,2020.64,11,Sedang,7.66,Roman F1,23,6,10
Ketimun,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Roman F1,23,6,11
Ketimun,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.65,Roman F1,23,6,12
Ketimun,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Roman F1,23,6,13
Ketimun,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Roman F1,23,6,14
Ketimun,Nisam Antara,5.6,25.45,2023.96,549,Tinggi,5.32,Roman F1,23,6,15
Ketimun,Paya Bakong,5.38,21.73,2085.27,79,Sedang,6.13,Roman F1,23,6,16
Ketimun,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Roman F1,23,6,17
Ketimun,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,Roman F1,23,6,18
Ketimun,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Roman F1,23,6,19
Ketimun,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Roman F1,23,6,20
Ketimun,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Roman F1,23,6,21
Ketimun,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Roman F1,23,6,22
Ketimun,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Roman F1,23,6,23
Ketimun,Tanah Jambo Aye,5.08,32.05,2160.33,12,Rendah,0.66,Roman F1,23,6,24
Ketimun,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Roman F1,23,6,25
Ketimun,Tanah Pasir,4.52,21.98,1694.7,5,Rendah,8.23,Roman F1,23,6,26
Kacang Panjang,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Parade Tavi,21,4,5
Kacang Panjang,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Parade Tavi,21,4,6
Kacang Panjang,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Parade Tavi,21,4,7
Kacang Panjang,Lapang,6.86,21.15,1562.87,4,Rendah,15.9,Parade Tavi,21,4,8
Kacang Panjang,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Parade Tavi,21,4,9
Kacang Panjang,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Parade Tavi,21,4,10
Kacang Panjang,Meurah Mulia,5.31,27.12,2520.78,14,Sedang,7.69,Parade Tavi,21,4,11
Kacang Panjang,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.69,Parade Tavi,21,4,12
Kacang Panjang,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Parade Tavi,21,4,13
Kacang Panjang,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Parade Tavi,21,4,14
Kacang Panjang,Nisam Antara,5.6,25.63,1855.74,501,Tinggi,5.18,Parade Tavi,21,4,15
Kacang Panjang,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,Parade Tavi,21,4,16
Kacang Panjang,Pirak Timu,4.6,27.53,2545.71,10,Sedang,5.32,Parade Tavi,21,4,17
Kacang Panjang,Dewantara,6.12,25.56,1932.0,9,Sedang,6.69,Parade Tavi,21,4,4
Kacang Panjang,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Parade Tavi,21,4,19
Kacang Panjang,Seunuddon,4.84,30.96,2148.47,3,Rendah,4.11,Parade Tavi,21,4,20
Kacang Panjang,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Parade Tavi,21,4,21
Kacang Panjang,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Parade Tavi,21,4,22
Kacang Panjang,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Parade Tavi,21,4,23
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Parade Tavi,21,4,24
Kacang Panjang,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Parade Tavi,21,4,25
Kacang Panjang,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.69,Parade Tavi,21,4,26
Kacang Panjang,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Kanton Tavi,13,4,0
Kacang Panjang,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,Kanton Tavi,13,4,1
Kacang Panjang,Langkahan,5.2,23.27,2297.21,72,Sedang,5.21,Kanton Tavi,13,4,7
Kacang Panjang,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Kanton Tavi,13,4,8
Kacang Panjang,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Kanton Tavi,13,4,9
Kacang Panjang,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Kanton Tavi,13,4,10
Kacang Panjang,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Kanton Tavi,13,4,11
Kacang Panjang,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.66,Kanton Tavi,13,4,12
Kacang Panjang,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Kanton Tavi,13,4,13
Kacang Panjang,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Kanton Tavi,13,4,14
Kacang Panjang,Nisam Antara,5.47,25.02,2181.0,459,Tinggi,6.53,Kanton Tavi,13,4,15
Kacang Panjang,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,Kanton Tavi,13,4,16
Kacang Panjang,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Kanton Tavi,13,4,17
Kacang Panjang,Samudera,5.81,19.85,2150.29,7,Rendah,1.19,Kanton Tavi,13,4,18
Kacang Panjang,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Kanton Tavi,13,4,19
Kacang Panjang,Dewantara,6.12,25.56,1932.0,9,Sedang,6.66,Kanton Tavi,13,4,4
Kacang Panjang,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Kanton Tavi,13,4,21
Kacang Panjang,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Kanton Tavi,13,4,22
Kacang Panjang,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Kanton Tavi,13,4,23
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Kanton Tavi,13,4,24
Kacang Panjang,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Kanton Tavi,13,4,25
Kacang Panjang,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.66,Kanton Tavi,13,4,26
Kacang Panjang,Baktiya,4.26,31.13,1626.44,12,Rendah,0.52,KP-1,12,4,0
Kacang Panjang,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,KP-1,12,4,1
Kacang Panjang,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,KP-1,12,4,2
Kacang Panjang,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,KP-1,12,4,3
Kacang Panjang,Dewantara,6.12,25.56,1932.0,9,Sedang,4.78,KP-1,12,4,4
Kacang Panjang,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,KP-1,12,4,10
Kacang Panjang,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,KP-1,12,4,11
Kacang Panjang,Muara Batu,6.11,25.56,1941.0,10,Sedang,4.78,KP-1,12,4,12
Kacang Panjang,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,KP-1,12,4,13
Kacang Panjang,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,KP-1,12,4,14
Kacang Panjang,Nisam Antara,5.47,25.02,2181.0,459,Tinggi,6.53,KP-1,12,4,15
Kacang Panjang,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,KP-1,12,4,16
Kacang Panjang,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,KP-1,12,4,17
Kacang Panjang,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,KP-1,12,4,18
Kacang Panjang,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,KP-1,12,4,19
Kacang Panjang,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,KP-1,12,4,20
Kacang Panjang,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,KP-1,12,4,21
Kacang Panjang,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,KP-1,12,4,22
Kacang Panjang,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,KP-1,12,4,23
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,KP-1,12,4,24
Kacang Panjang,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,KP-1,12,4,25
Kacang Panjang,Tanah Pasir,5.27,19.98,1520.69,4,Rendah,3.62,KP-1,12,4,26
Kangkung,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Bangkok LP-1,3,5,0
Kangkung,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,Bangkok LP-1,3,5,1
Kangkung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Bangkok LP-1,3,5,2
Kangkung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Bangkok LP-1,3,5,3
Kangkung,Dewantara,6.12,25.56,1932.0,9,Sedang,6.61,Bangkok LP-1,3,5,4
Kangkung,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Bangkok LP-1,3,5,5
Kangkung,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Bangkok LP-1,3,5,6
Kangkung,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Bangkok LP-1,3,5,7
Kangkung,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Bangkok LP-1,3,5,8
Kangkung,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Bangkok LP-1,3,5,9
Kangkung,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Bangkok LP-1,3,5,10
Kangkung,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Bangkok LP-1,3,5,11
Kangkung,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.61,Bangkok LP-1,3,5,12
Kangkung,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Bangkok LP-1,3,5,13
Kangkung,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Bangkok LP-1,3,5,19
Kangkung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Bangkok LP-1,3,5,20
Kangkung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Bangkok LP-1,3,5,21
Kangkung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Bangkok LP-1,3,5,22
Kangkung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Bangkok LP-1,3,5,23
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Bangkok LP-1,3,5,24
Kangkung,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Bangkok LP-1,3,5,25
Kangkung,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.61,Bangkok LP-1,3,5,26
Kangkung,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Bisi Kangkung,5,5,0
Kangkung,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,Bisi Kangkung,5,5,1
Kangkung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Bisi Kangkung,5,5,2
Kangkung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Bisi Kangkung,5,5,3
Kangkung,Dewantara,7.1,28.35,1965.85,8,Sedang,5.59,Bisi Kangkung,5,5,4
Kangkung,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Bisi Kangkung,5,5,5
Kangkung,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Bisi Kangkung,5,5,6
Kangkung,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Bisi Kangkung,5,5,7
Kangkung,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Bisi Kangkung,5,5,8
Kangkung,Lhoksukon,6.31,27.23,1602.59,14,Rendah,5.85,Bisi Kangkung,5,5,9
Kangkung,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Bisi Kangkung,5,5,10
Kangkung,Meurah Mulia,4.72,32.16,2303.81,15,Sedang,7.23,Bisi Kangkung,5,5,11
Kangkung,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.65,Bisi Kangkung,5,5,12
Kangkung,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Bisi Kangkung,5,5,13
Kangkung,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Bisi Kangkung,5,5,14
Kangkung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Bisi Kangkung,5,5,20
Kangkung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Bisi Kangkung,5,5,21
Kangkung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Bisi Kangkung,5,5,22
Kangkung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Bisi Kangkung,5,5,23
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Bisi Kangkung,5,5,24
Kangkung,Tanah Luas,5.9,24.76,2292.62,267,Sedang,6.78,Bisi Kangkung,5,5,25
Kangkung,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.65,Bisi Kangkung,5,5,26
Kangkung,Baktiya,4.3,27.49,1964.31,10,Rendah,0.7,Sutra,26,5,0
Kangkung,Baktiya Barat,4.89,28.32,2493.72,4,Rendah,8.17,Sutra,26,5,1
Kangkung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Sutra,26,5,2
Kangkung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Sutra,26,5,3
Kangkung,Dewantara,6.12,25.56,1932.0,9,Sedang,4.78,Sutra,26,5,4
Kangkung,Meurah Mulia,6.88,24.45,2344.06,17,Sedang,7.53,Sutra,26,5,11
Kangkung,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.47,Sutra,26,5,12
Kangkung,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Sutra,26,5,13
Kangkung,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Sutra,26,5,14
Kangkung,Nisam Antara,5.47,25.02,2181.0,459,Tinggi,6.53,Sutra,26,5,15
Kangkung,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,Sutra,26,5,16
Kangkung,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Sutra,26,5,17
Kangkung,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,Sutra,26,5,18
Kangkung,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Sutra,26,5,19
Kangkung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Sutra,26,5,20
Kangkung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Sutra,26,5,21
Kangkung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Sutra,26,5,22
Kangkung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Sutra,26,5,23
Kangkung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Sutra,26,5,24
Kangkung,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Sutra,26,5,25
Kangkung,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.47,Sutra,26,5,26
Terung,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Mustang F1,20,8,0
Terung,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,Mustang F1,20,8,1
Terung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Mustang F1,20,8,2
Terung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Mustang F1,20,8,3
Terung,Dewantara,6.12,25.56,1932.0,9,Sedang,0.67,Mustang F1,20,8,4
Terung,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Mustang F1,20,8,5
Terung,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Mustang F1,20,8,6
Terung,Langkahan,3.95,28.26,2152.46,85,Sedang,6.74,Mustang F1,20,8,7
Terung,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Mustang F1,20,8,8
Terung,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Mustang F1,20,8,9
Terung,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Mustang F1,20,8,10
Terung,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Mustang F1,20,8,11
Terung,Muara Batu,4.61,22.05,1810.33,9,Sedang,0.79,Mustang F1,20,8,12
Terung,Nibong,6.66,19.62,2632.23,16,Rendah,7.4,Mustang F1,20,8,13
Terung,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Mustang F1,20,8,14
Terung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Mustang F1,20,8,20
Terung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Mustang F1,20,8,21
Terung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Mustang F1,20,8,22
Terung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Mustang F1,20,8,23
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Mustang F1,20,8,24
Terung,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Mustang F1,20,8,25
Terung,Tanah Pasir,5.31,22.93,2190.81,5,Rendah,6.7,Mustang F1,20,8,26
Terung,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Laguna F1,16,8,0
Terung,Baktiya Barat,6.62,25.5,1734.58,3,Rendah,6.27,Laguna F1,16,8,1
Terung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Laguna F1,16,8,2
Terung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Laguna F1,16,8,3
Terung,Dewantara,6.12,25.56,1932.0,9,Sedang,6.55,Laguna F1,16,8,4
Terung,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Laguna F1,16,8,5
Terung,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Laguna F1,16,8,6
Terung,Langkahan,5.01,25.08,2429.0,71,Sedang,6.65,Laguna F1,16,8,7
Terung,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Laguna F1,16,8,8
Terung,Lhoksukon,5.22,26.09,2091.0,12,Rendah,6.69,Laguna F1,16,8,9
Terung,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Laguna F1,16,8,10
Terung,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Laguna F1,16,8,11
Terung,Muara Batu,4.81,28.01,1974.33,11,Sedang,7.9,Laguna F1,16,8,12
Terung,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Laguna F1,16,8,13
Terung,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Laguna F1,16,8,19
Terung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Laguna F1,16,8,20
Terung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Laguna F1,16,8,21
Terung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Laguna F1,16,8,22
Terung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Laguna F1,16,8,23
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Laguna F1,16,8,24
Terung,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Laguna F1,16,8,25
Terung,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.55,Laguna F1,16,8,26
Terung,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Antaboga,1,8,0
Terung,Baktiya Barat,6.17,27.01,2006.0,4,Rendah,6.74,Antaboga,1,8,1
Terung,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Antaboga,1,8,2
Terung,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Antaboga,1,8,3
Terung,Dewantara,6.12,25.56,1932.0,9,Sedang,6.61,Antaboga,1,8,4
Terung,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Antaboga,1,8,5
Terung,Kuta Makmur,7.53,27.44,2201.81,144,Tinggi,5.21,Antaboga,1,8,6
Terung,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.61,Antaboga,1,8,12
Terung,Nibong,5.44,30.39,1922.57,19,Rendah,8.22,Antaboga,1,8,13
Terung,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Antaboga,1,8,14
Terung,Nisam Antara,5.47,25.02,2181.0,459,Tinggi,6.53,Antaboga,1,8,15
Terung,Paya Bakong,5.29,25.07,2263.0,81,Sedang,6.61,Antaboga,1,8,16
Terung,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Antaboga,1,8,17
Terung,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,Antaboga,1,8,18
Terung,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Antaboga,1,8,19
Terung,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Antaboga,1,8,20
Terung,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Antaboga,1,8,21
Terung,Syamtalira Aron,6.04,26.07,2000.0,5,Rendah,25.52,Antaboga,1,8,22
Terung,Syamtalira Bayu,5.59,26.04,1951.0,20,Sedang,6.13,Antaboga,1,8,23
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10,Rendah,0.63,Antaboga,1,8,24
Terung,Tanah Luas,5.49,25.02,2200.0,239,Sedang,6.59,Antaboga,1,8,25
Terung,Tanah Pasir,5.09,25.56,1979.0,5,Rendah,6.61,Antaboga,1,8,26
Cabe Rawit,Baktiya,5.37,27.0,2091.0,11,Rendah,0.67,Dewata F1,8,3,0
Cabe Rawit,Baktiya Barat,7.18,33.21,1848.05,3,Rendah,6.48,Dewata F1,8,3,1
Cabe Rawit,Banda Baro,6.02,26.04,1986.0,35,Tinggi,4.78,Dewata F1,8,3,2
Cabe Rawit,Cot Girek,5.17,25.06,2404.0,124,Sedang,6.61,Dewata F1,8,3,3
